order_id,customer_id,service_type,order_created_at,promised_window_hours,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag,delivery_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,age,home_zone,customer_type,signup_date,loyalty_score,app_engagement_score,preferred_channel,account_status,delivery_hours,late_delivery
O00021,C0218,Passenger,2024-10-16 11:25:00,2,WEST,NORTH,Medium,49.99,Web,0,DL00141,D166,V094,H04,2024-10-16 12:41:00,2024-10-16 12:59:34.243920,OnTime,10.45,1.0,0.0,4.77,7.89,32,CENTRAL,Consumer,2024-10-15 19:15:00,62.2,11.4,App,Active,0.30951219999999996,0
O00022,C0594,Retail,2025-04-20 20:56:00,12,RiverSide,CENTRAL,Medium,134.88,Phone,0,DL00691,D055,V091,H01,2025-04-20 21:40:00,2025-04-21 17:33:54.635329,Delayed,4.45,0.0,0.0,4.36,13.49,70,East,Consumer,2025-10-20 16:41:00,97.4,22.5,Web,Active,19.89850981361111,0
O00023,C0077,Passenger,2025-10-05 04:59:00,4,north,north,Medium,122.25,App,0,DL00831,D133,V053,H08,2025-10-05 05:51:00,2025-10-06 04:17:27.447541,Failed,15.56,0.0,1.0,2.38,10.87,59,NORTH,SME,2024-07-31 19:24:00,61.7,29.0,Web,Active,22.440957650277777,0
O00024,C0397,Passenger,2024-10-10 05:01:00,6,South,Riverside,High,132.2,App,1,DL00724,D003,V042,H01,2024-10-10 07:43:00,2024-10-10 10:21:10.389885,OnTime,17.9,0.0,0.0,4.76,14.39,33,WEST,Consumer,2024-01-03 02:17:00,51.3,34.6,Web,Suspended,2.6362194125,0
O00025,C0297,Passenger,2025-01-10 21:51:00,6,North,RiverSide,Critical,66.51,App,0,DL00204,D108,V062,H08,2025-01-10 22:15:00,2025-01-11 05:19:27.680020,OnTime,11.32,1.0,0.0,4.64,15.67,72,WEST,Consumer,2024-10-23 08:23:00,42.6,80.8,Partner API,Active,7.074355561111111,0
O00026,C0193,Parcel,2025-11-10 22:22:00,24,East,West,High,51.09,App,0,,,,,,,,,,,,,20,South,Consumer,2024-02-14 16:45:00,84.0,62.1,App,Active,,0
O00027,C0024,Parcel,2025-02-26 00:42:00,4,Riverside,north,Medium,96.62,App,0,DL00700,D099,V115,H06,2025-02-26 02:22:00,2025-02-26 06:50:34.860335,OnTime,8.6,1.0,0.0,5.0,9.3,66,WEST,Consumer,2024-11-17 14:37:00,55.3,44.5,App,Active,4.476350093055555,0
O00028,C0160,Retail,2025-12-21 22:29:00,4,NORTH,South,High,59.44,App,0,,,,,,,,,,,,,57,SOUTH,Consumer,2024-11-06 03:57:00,62.8,80.2,Phone,Suspended,,0
O00029,C0366,Medical,2024-09-11 12:22:00,24,EAST,Ctr,Medium,190.94,Web,0,DL00006,D037,V098,H03,2024-09-11 12:40:00,2024-09-12 17:11:52.384869,Delayed,13.84,0.0,0.0,1.57,9.58,70,South,Consumer,2025-12-22 20:19:00,,51.2,Phone,Dormant,28.531218019166666,0
O00030,C0406,Medical,2025-10-05 03:11:00,12,north,EAST,Low,44.84,App,0,DL00268,D008,V056,H02,2025-10-05 03:47:00,,OnTime,8.7,1.0,0.0,3.88,15.46,75,north,Consumer,2025-04-30 00:40:00,57.7,51.7,App,Active,,0
O00031,C0573,Passenger,2024-10-25 03:17:00,24,EAST,AIRPORT,Medium,55.14,App,0,DL00862,D165,V037,H01,2024-10-25 04:57:00,2024-10-26 09:32:20.877141,Failed,8.4,1.0,0.0,1.41,9.28,47,AIRPORT,SME,2025-02-27 18:19:00,57.3,74.4,App,Active,28.589132539166666,0
O00032,C0297,Passenger,2025-09-15 23:14:00,1,CENTRAL,East,Medium,126.43,App,1,DL00193,D017,V013,H08,2025-09-16 00:28:00,2025-09-15 23:38:00.000000,OnTime,14.01,4.0,0.0,3.54,9.08,72,WEST,Consumer,2024-10-23 08:23:00,42.6,80.8,Partner API,Active,-0.8333333333333334,0
O00033,C0471,Retail,2025-12-30 21:02:00,6,NORTH,East,Low,36.7,Phone,1,DL00792,D106,V094,H08,2025-12-30 21:39:00,2025-12-31 14:37:51.118085,Failed,14.69,1.0,0.0,3.2,16.8,42,North,Consumer,2025-05-10 02:26:00,59.9,28.0,App,Dormant,16.980866134722223,0
O00034,C0023,Retail,2025-02-18 01:38:00,2,North,South,Low,40.88,App,0,,,,,,,,,,,,,52,South,Consumer,2025-06-28 13:49:00,73.1,45.2,Web,Active,,0
O00035,C0524,Business,2024-06-14 13:12:00,4,north,CENTRAL,Medium,209.07,Web,0,DL00492,D100,V108,H06,2024-06-14 15:50:00,2024-06-15 05:51:47.019652,Failed,9.55,0.0,0.0,1.99,9.2,67,RiverSide,Consumer,2025-01-02 13:23:00,49.7,70.2,Phone,Active,14.029727681111112,0
O00036,C0126,Parcel,2024-11-06 04:24:00,4,Riverside,North,Medium,73.14,App,0,DL00483,D135,V017,H06,2024-11-06 05:51:00,2024-11-06 11:52:01.051436,Delayed,8.41,0.0,1.0,4.57,9.29,42,NORTH,Consumer,2024-05-22 13:55:00,64.5,39.0,App,Active,6.016958732222222,0
O00037,C0015,Retail,2024-02-10 17:19:00,24,EAST,Airport,Low,119.31,Phone,0,,,,,,,,,,,,,37,SOUTH,SME,2024-05-27 17:07:00,54.5,52.8,Phone,Active,,0
O00038,C0142,Retail,2025-10-06 20:11:00,2,Riverside,EAST,Medium,168.48,Phone,0,DL00869,D118,V119,H05,2025-10-06 20:46:00,2025-10-06 21:44:16.662558,OnTime,9.15,2.0,0.0,5.0,10.32,29,SOUTH,Consumer,2024-11-29 21:33:00,47.0,61.7,App,Active,0.971295155,0
O00039,C0351,Parcel,2025-08-01 07:36:00,6,East,RiverSide,Low,54.85,Web,1,DL00106,D040,V015,H05,2025-08-01 08:30:00,2025-08-01 12:18:45.005907,OnTime,18.02,0.0,0.0,4.92,15.57,66,CENTRAL,Enterprise,2024-02-10 00:50:00,48.6,49.9,App,Active,3.8125016408333336,0
O00040,C0014,Parcel,2025-05-24 22:33:00,1,North,AIRPORT,Low,74.65,App,0,,,,,,,,,,,,,62,North,Consumer,2024-05-16 09:26:00,94.1,81.0,App,Active,,0
O00041,C0243,Retail,2024-09-17 13:42:00,12,RiverSide,West,Low,19.15,App,0,,,,,,,,,,,,,31,RiverSide,Consumer,2025-06-20 16:36:00,63.0,85.8,Phone,Suspended,,0
O00042,C0606,Retail,2025-12-01 18:22:00,24,Riverside,Ctr,Medium,133.72,Phone,1,DL00472,D113,V046,H01,2025-12-01 19:10:00,2025-12-03 08:16:03.110618,Delayed,10.28,0.0,0.0,3.59,5.13,68,SOUTH,Consumer,2024-05-06 10:57:00,64.3,56.9,App,Active,37.10086406055556,0
O00043,C0416,Retail,2024-01-01 03:53:00,12,EAST,RiverSide,Medium,48.59,API,0,DL00765,D126,V023,H06,2024-01-01 06:03:00,2024-01-01 15:35:48.325916,OnTime,16.23,1.0,0.0,4.81,15.76,34,South,Consumer,2024-10-09 09:00:00,66.0,16.7,Web,Active,9.546757198888889,0
O00044,C0227,Business,2025-11-02 09:57:00,4,West,Riverside,Medium,61.45,Phone,1,DL00403,D131,V092,H07,2025-11-02 10:07:00,2025-11-02 12:43:42.885570,OnTime,11.6,1.0,0.0,4.58,13.74,69,WEST,Consumer,2025-05-01 08:32:00,62.2,67.9,App,Active,2.6119126583333334,0
O00045,C0326,Parcel,2024-02-13 18:38:00,6,SOUTH,AIRPORT,Critical,56.64,,0,DL00110,D024,V042,H03,2024-02-13 21:24:00,2024-02-14 01:15:37.449725,OnTime,14.39,1.0,0.0,4.74,8.64,60,West,Consumer,2024-04-02 05:21:00,64.6,47.3,,Active,3.860402701388889,0
O00046,C0538,Parcel,2025-12-13 01:15:00,4,NORTH,CENTRAL,High,85.48,App,0,,,,,,,,,,,,,28,Central,Enterprise,2024-09-15 05:20:00,84.5,44.3,App,Dormant,,0
O00047,C0220,Medical,2025-11-28 03:02:00,2,WEST,north,Medium,39.57,App,0,DL00923,D071,V012,H03,2025-11-28 04:59:00,2025-11-28 05:50:08.491873,OnTime,19.03,0.0,0.0,4.7,16.28,47,South,SME,2025-04-15 05:10:00,44.8,64.0,Web,Dormant,0.8523588536111111,0
O00048,C0145,Medical,2024-11-22 06:49:00,4,RiverSide,NORTH,Low,43.37,App,0,,,,,,,,,,,,,34,AIRPORT,Consumer,2024-09-11 06:17:00,99.0,30.6,,Active,,0
O00049,C0380,Passenger,2024-12-19 23:58:00,2,WEST,SOUTH,Low,66.46,Phone,1,,,,,,,,,,,,,24,CENTRAL,SME,2024-10-29 03:39:00,32.6,61.2,Web,Active,,0
O00050,C0544,Passenger,2024-03-29 13:44:00,1,NORTH,Ctr,Low,33.93,App,0,,,,,,,,,,,,,72,north,Consumer,2025-01-16 01:12:00,52.1,44.0,App,Active,,0
O00051,C0185,Business,2025-02-07 23:39:00,12,AIRPORT,EAST,Critical,14.48,Web,1,,,,,,,,,,,,,40,SOUTH,Consumer,2025-12-05 05:27:00,77.5,76.4,Phone,Suspended,,0
O00052,C0150,Retail,2024-08-14 08:33:00,12,north,Riverside,Medium,293.65,API,0,DL00239,D019,V010,H06,2024-08-14 09:02:00,2024-08-15 01:09:18.015871,Delayed,13.6,1.0,0.0,3.72,16.0,58,north,Consumer,2025-06-08 06:44:00,88.8,60.9,App,Active,16.121671075277778,0
O00053,C0054,Parcel,2024-04-02 11:27:00,24,East,East,Low,73.56,App,0,,,,,,,,,,,,,75,WEST,Consumer,2025-12-24 13:22:00,42.4,26.8,Web,Active,,0
O00054,C0478,Medical,2025-03-29 10:44:00,4,NORTH,north,Low,54.41,Web,0,DL00020,D157,V065,H01,2025-03-29 12:59:00,2025-03-29 14:40:37.791408,OnTime,24.31,0.0,0.0,4.15,12.61,43,north,Consumer,2024-02-22 09:47:00,43.6,52.4,App,Active,1.6938309466666668,0
O00055,C0454,Retail,2025-05-30 23:44:00,2,Airport,RiverSide,Medium,73.7,App,0,DL00445,D074,V008,H03,2025-05-31 02:19:00,2025-05-31 06:24:33.541055,Delayed,37.02,0.0,0.0,3.55,21.88,28,South,Consumer,2024-10-27 07:07:00,62.2,63.6,App,Active,4.092650293055556,0
O00056,C0271,Parcel,2025-10-05 20:28:00,4,South,CENTRAL,High,160.35,Web,0,DL00225,D150,V044,H05,2025-10-05 20:44:00,2025-10-06 00:53:02.095072,OnTime,6.21,2.0,0.0,3.98,14.94,66,East,Consumer,2025-12-09 06:43:00,65.1,15.5,Web,Active,4.150581964444444,0
O00057,C0226,Business,2025-06-04 01:43:00,4,East,North,Medium,194.03,App,0,,,,,,,,,,,,,74,WEST,Consumer,2024-12-09 12:05:00,47.2,48.0,Web,Active,,0
O00058,C0083,Passenger,2025-12-16 06:27:00,2,South,EAST,Critical,51.95,Web,0,DL00146,D052,V094,H03,2025-12-16 06:56:00,2025-12-16 09:52:51.274465,OnTime,22.04,0.0,0.0,4.37,6.16,28,West,Consumer,2024-05-27 03:47:00,71.1,51.7,App,Dormant,2.947576240277778,0
O00059,C0640,Passenger,2025-11-20 16:54:00,2,CENTRAL,Airport,Medium,20.32,Web,0,DL00286,D038,V047,H05,2025-11-20 19:24:00,,Delayed,13.74,0.0,1.0,3.32,7.06,55,north,SME,2025-10-11 02:52:00,50.8,65.6,Web,Dormant,,0
O00060,C0258,Medical,2024-05-10 15:48:00,6,north,EAST,Critical,37.52,Web,0,DL00328,D009,V072,H02,2024-05-10 18:12:00,2024-05-10 23:00:20.975877,OnTime,4.02,1.0,0.0,3.26,8.95,50,Riverside,Consumer,2024-03-17 08:15:00,71.4,63.1,Partner API,Active,4.8058266325000005,0
O00061,C0289,Passenger,2024-07-12 01:44:00,6,AIRPORT,north,High,238.9,Web,1,DL00155,D048,V052,H02,2024-07-12 03:31:00,2024-07-12 08:43:58.748726,OnTime,24.74,1.0,0.0,4.46,18.46,19,North,SME,2024-06-11 00:31:00,75.8,77.3,App,Active,5.216319090555556,0
O00062,C0177,Passenger,2025-07-26 08:11:00,4,West,AIRPORT,Medium,45.44,Web,0,,,,,,,,,,,,,39,EAST,Consumer,2024-09-28 08:02:00,67.0,43.4,App,Suspended,,0
O00063,C0168,Retail,2025-07-13 05:49:00,12,SOUTH,AIRPORT,Low,57.56,App,0,DL00580,D026,V066,H04,2025-07-13 06:28:00,2025-07-13 16:43:18.243380,OnTime,15.1,1.0,0.0,4.99,17.2,70,RiverSide,Consumer,2025-02-17 10:26:00,54.3,69.4,Web,Active,10.255067605555556,0
O00064,C0346,Business,2025-10-14 07:34:00,12,Central,RiverSide,High,45.43,App,0,DL00583,D015,V098,H01,2025-10-14 08:48:00,2025-10-14 21:55:17.220317,OnTime,14.6,1.0,0.0,4.53,6.16,46,AIRPORT,Consumer,2024-09-11 03:14:00,62.9,98.5,App,Dormant,13.121450088055555,0
O00065,C0285,Parcel,2024-09-23 07:03:00,4,SOUTH,West,High,61.59,App,0,,,,,,,,,,,,,45,RiverSide,Consumer,2025-10-08 16:17:00,27.9,18.0,Phone,Active,,0
O00066,C0421,Passenger,2024-06-21 11:22:00,4,SOUTH,EAST,Low,237.58,App,0,DL00164,D045,V120,H03,2024-06-21 11:36:00,2024-06-21 14:46:30.898358,OnTime,17.31,0.0,0.0,3.9,17.53,34,CENTRAL,Consumer,2025-03-16 15:08:00,59.0,51.4,App,Active,3.175249543888889,0
O00067,C0339,Passenger,2025-02-25 02:12:00,6,WEST,WEST,Critical,131.1,Web,0,DL00474,D004,V017,H04,2025-02-25 03:48:00,2025-02-25 07:16:13.969650,OnTime,2.66,0.0,0.0,4.36,9.21,27,SOUTH,Consumer,2025-02-13 20:28:00,46.6,66.6,App,Active,3.470547125,0
O00068,C0084,Parcel,2025-10-13 09:08:00,2,RiverSide,East,Medium,40.58,App,0,DL00540,D008,V072,H04,2025-10-13 12:06:00,2025-10-13 15:29:29.316851,Delayed,16.2,2.0,0.0,3.21,16.04,33,Airport,Consumer,2024-12-16 23:16:00,55.8,61.9,Web,Active,3.3914769030555556,0
O00069,C0369,Passenger,2024-05-19 21:45:00,12,AIRPORT,RiverSide,Medium,103.29,Phone,1,DL00351,D142,V050,H07,2024-05-19 21:58:00,2024-05-20 09:27:10.018280,OnTime,33.129999999999995,0.0,0.0,4.53,22.56,42,West,Consumer,2025-03-06 02:16:00,47.6,40.7,App,Active,11.486116188888888,0
O00070,C0125,Retail,2025-05-13 21:30:00,4,Ctr,AIRPORT,Low,165.63,App,0,DL00378,D111,V037,H02,2025-05-13 23:09:00,2025-05-14 15:42:14.054302,Failed,7.92,0.0,0.0,2.14,7.93,31,Airport,Consumer,2025-10-27 03:33:00,99.0,45.6,Web,Active,16.55390397277778,0
O00071,C0109,Medical,2024-08-31 22:15:00,1,North,SOUTH,Low,157.58,Phone,0,DL00154,D018,V110,H08,2024-09-01 00:47:00,2024-09-01 02:07:26.317027,Failed,7.04,1.0,0.0,4.2,5.23,78,North,Consumer,2025-10-30 11:51:00,52.7,25.4,App,Dormant,1.340643618611111,0
O00072,C0060,Medical,2024-01-07 16:44:00,2,WEST,Riverside,Medium,7.32,App,0,,,,,,,,,,,,,52,Central,Consumer,2024-10-15 00:09:00,85.2,83.5,App,Active,,0
O00073,C0331,Passenger,2025-03-31 04:59:00,4,Ctr,South,High,30.82,App,0,DL00784,D095,V039,H05,2025-03-31 05:10:00,2025-04-01 01:01:35.158033,Delayed,5.24,0.0,1.0,2.29,13.26,58,RiverSide,Consumer,2025-02-26 12:26:00,52.0,34.8,App,Active,19.85976612027778,0
O00074,C0644,Parcel,2025-10-18 11:44:00,6,Riverside,Riverside,Critical,20.6,App,0,DL00757,D135,V002,H06,2025-10-18 14:03:00,2025-10-18 21:07:10.495229,Delayed,12.69,1.0,1.0,5.0,6.5,46,RiverSide,Consumer,2024-10-28 10:21:00,51.1,64.4,App,Active,7.069582008055556,0
O00075,C0026,Business,2024-11-02 04:56:00,2,North,East,Medium,85.65,Web,0,DL00418,D167,V019,H06,2024-11-02 06:29:00,2024-11-02 08:58:56.396803,OnTime,4.73,1.0,0.0,5.0,10.5,34,NORTH,Enterprise,2024-09-11 05:44:00,70.6,74.8,Phone,Active,2.4989991119444444,0
O00076,C0075,Retail,2025-12-25 04:37:00,4,Ctr,Riverside,Low,100.62,Phone,0,DL00653,D043,V096,H04,2025-12-25 05:43:00,2025-12-25 15:29:42.609869,Delayed,12.43,3.0,0.0,2.71,13.03,43,Central,Consumer,2024-04-13 11:39:00,59.2,23.9,App,Active,9.77850274138889,0
O00077,C0543,Medical,2025-07-30 07:21:00,4,RiverSide,CENTRAL,Low,150.98,App,0,DL00560,D127,V120,H08,2025-07-30 07:48:00,2025-07-30 11:13:32.980554,OnTime,4.49,2.0,0.0,4.38,14.99,20,RiverSide,Consumer,2025-06-02 07:20:00,47.0,54.7,App,Dormant,3.4258279316666664,0
O00078,C0434,Parcel,2025-10-06 03:35:00,6,WEST,Riverside,Medium,94.04,App,0,DL00714,D140,V110,H04,2025-10-06 05:23:00,2025-10-06 11:04:38.381928,OnTime,10.21,0.0,0.0,4.53,20.77,62,EAST,Consumer,2024-04-08 13:31:00,45.0,46.0,Web,Active,5.693994979999999,0
O00079,C0353,Parcel,2025-03-10 05:43:00,2,WEST,AIRPORT,Medium,48.85,App,0,DL00827,D065,V030,H01,2025-03-10 06:56:00,2025-03-10 07:06:19.807951,OnTime,16.9,2.0,0.0,4.87,11.29,50,WEST,Consumer,2024-02-08 20:45:00,62.8,80.2,Phone,Dormant,0.17216887527777777,0
O00080,C0082,Parcel,2025-11-13 04:38:00,4,SOUTH,SOUTH,Medium,135.71,App,0,DL00773,D101,V050,H03,2025-11-13 05:00:00,2025-11-13 09:21:31.940911,OnTime,19.65,0.0,0.0,3.41,11.72,49,East,Consumer,2025-05-10 09:05:00,72.8,92.8,Web,Active,4.358872475277778,0
O00081,C0004,Passenger,2025-04-17 12:53:00,6,WEST,Airport,Low,208.38,App,0,DL00316,D108,V095,H08,2025-04-17 15:01:00,2025-04-18 07:30:05.752336,Failed,7.85,1.0,0.0,4.11,9.08,75,CENTRAL,Consumer,2025-08-19 01:58:00,32.5,33.0,App,Active,16.484931204444443,0
O00082,C0531,Retail,2024-07-30 03:44:00,12,Central,WEST,Medium,36.55,App,0,DL00237,D135,V099,H06,2024-07-30 05:49:00,2024-07-30 15:01:15.776025,OnTime,12.83,1.0,0.0,3.62,20.26,74,Central,SME,2024-05-19 00:54:00,46.7,66.5,Partner API,Dormant,9.204382229166667,0
O00083,C0215,Medical,2024-10-23 00:23:00,2,Airport,SOUTH,Low,127.88,App,0,DL00537,D153,V033,H07,2024-10-23 00:53:00,2024-10-23 01:25:13.645321,OnTime,30.51,1.0,0.0,3.67,9.75,67,NORTH,SME,2024-09-18 13:10:00,64.4,51.4,App,Active,0.5371237002777778,0
O00084,C0103,Passenger,2025-05-13 06:02:00,4,West,North,High,157.73,Phone,1,DL00705,D010,V061,H03,2025-05-13 08:46:00,2025-05-14 05:31:07.437328,Failed,15.18,2.0,0.0,4.04,12.68,20,AIRPORT,Consumer,2024-12-18 14:51:00,71.4,74.2,Web,Active,20.752065924444445,0
O00085,C0505,Passenger,2024-03-02 08:19:00,4,north,Riverside,Low,23.13,App,0,DL00726,D045,V023,H03,2024-03-02 09:54:00,2024-03-02 12:02:36.698020,OnTime,14.37,0.0,0.0,5.0,2.5,36,north,Consumer,2024-08-11 01:25:00,51.9,100.0,Phone,Active,2.1435272277777777,0
O00086,C0255,Passenger,2024-07-20 03:44:00,4,CENTRAL,AIRPORT,High,66.09,App,0,DL00561,D054,V005,H03,2024-07-20 06:42:00,2024-07-20 06:20:25.478336,OnTime,7.67,2.0,0.0,3.5,19.2,38,NORTH,Consumer,2025-05-30 17:05:00,51.9,40.9,Phone,Active,-0.3595893511111111,0
O00087,C0476,Business,2024-11-12 14:07:00,4,SOUTH,north,Critical,56.73,Phone,0,DL00028,D165,V022,H08,2024-11-12 15:52:00,2024-11-13 04:15:00.393100,Delayed,15.53,2.0,0.0,2.7,13.05,59,NORTH,Consumer,2024-10-04 13:18:00,66.0,69.6,App,Active,12.383442527777778,0
O00088,C0157,Medical,2024-06-14 10:28:00,24,RiverSide,East,Low,101.67,App,0,DL00626,D082,V085,H05,2024-06-14 11:04:00,2024-06-15 12:38:34.881047,OnTime,18.51,1.0,0.0,4.57,17.13,50,CENTRAL,Consumer,2025-03-28 10:04:00,67.9,46.8,App,Active,25.57635584638889,0
O00089,C0339,Medical,2025-04-24 18:23:00,6,South,North,High,52.58,Web,1,DL00807,D103,V061,H05,2025-04-24 20:33:00,2025-04-25 04:18:13.985090,Failed,1.2,2.0,0.0,2.8,8.46,27,SOUTH,Consumer,2025-02-13 20:28:00,46.6,66.6,App,Active,7.753884747222222,0
O00090,C0490,Business,2024-10-23 05:35:00,4,RiverSide,SOUTH,Medium,86.48,App,0,DL00639,D053,V073,H07,2024-10-23 06:26:00,2024-10-23 09:29:56.105722,OnTime,9.72,0.0,0.0,4.45,16.68,78,Central,Consumer,2025-08-09 19:59:00,44.0,48.3,Web,Active,3.065584922777778,0
